date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:58	114082/114082	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2019:41:35%20GMT	https://radiantthemes-19947038.hs-sites.com/consultix	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix.html	(from )
19:46:59	143/143	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Aug%202023%2012:22:07%20GMT	https://radiantthemes-19947038.hs-sites.com/robots.txt		(from )
19:47:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:00%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/favicon.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/favicon.1.delayed	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:03	5950/5950	---M--	200	added ('OK')	image/png	etag:%22ca66a870fb2e3d78e5ab98563dc0ac0e%22	https://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/favicon.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/favicon.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:03%20GMT	http://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042719786/1652069898962/consultix/css/main.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042719786/1652069898962/consultix/css/main.min.3.delayed	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:05%20GMT	http://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805513/1652069897934/consultix/css/bootstrap.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805513/1652069897934/consultix/css/bootstrap.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:06	124003/124003	---MCZ	200	added ('OK')	text/css	etag:W/%22fb58f89b26c5d41c533d93dd634e35ee%22	https://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042719786/1652069898962/consultix/css/main.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042719786/1652069898962/consultix/css/main.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:06%20GMT	http://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042720394/1652069903337/consultix/css/generic/animate.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042720394/1652069903337/consultix/css/generic/animate.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:07	154816/154816	---MCZ	200	added ('OK')	text/css	etag:W/%22231e78a2b5567f65200b5d762987d7b7%22	https://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805513/1652069897934/consultix/css/bootstrap.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805513/1652069897934/consultix/css/bootstrap.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:07%20GMT	http://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042720393/1652069898773/consultix/css/bsnav.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042720393/1652069898773/consultix/css/bsnav.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
